HSYNCHTIME;SUCCESS;COLLSIZE;PHASEADJ;FREQADJ;ALPHA;BETA;TREFPERC;M;MINFREQ;MAXFREQ;K;T_F;TQDEFINER;ADJTIMESCALE
10,487680;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
24,708910;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
15,469270;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
20,500220;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
13,462830;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
35,686430;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
25,768750;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
18,478760;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
19,860440;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
300,004500;0,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
22,910050;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
39,006800;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
58,329900;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
50,941210;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
13,506260;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
71,802860;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
24,679710;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
21,857060;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
20,947240;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
12,738180;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
114,592200;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
27,851610;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
23,168550;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
300,008000;0,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
57,722700;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
32,740620;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
27,791920;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
28,795260;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
17,299590;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
22,783810;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
