HSYNCHTIME;SUCCESS;COLLSIZE;PHASEADJ;FREQADJ;ALPHA;BETA;TREFPERC;M;MINFREQ;MAXFREQ;K;T_F;TQDEFINER;ADJTIMESCALE
20,754940;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
23,271140;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
20,733920;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
20,432310;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
25,038120;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
11,456590;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
208,194600;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
95,986110;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
16,454860;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
81,724040;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
10,210940;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
25,189610;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
61,687490;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
16,449500;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
10,278530;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
300,013800;0,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
49,307000;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
21,061520;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
10,321010;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
21,509200;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
12,872140;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
300,001200;0,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
9,513176;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
33,117890;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
27,567690;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
24,786330;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
10,270550;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
15,488260;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
12,397310;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
18,355480;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
22,810310;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
15,386150;1,000000;6,000000;1,000000;0,000000;0,200000;0,800000;0,100000;5,000000;0,100000;4,000000;8,000000;0,080000;0,000000;1,000000
