HSYNCHTIME;SUCCESS;COLLSIZE;PHASEADJ;FREQADJ;ALPHA;BETA;TREFPERC;M;MINFREQ;MAXFREQ;ADJTIMESCALE
20,52342;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
12,61007;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
15,26266;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
24,48764;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
22,53727;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
20,69178;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
20,82789;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
38,46978;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
26,34354;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
43,08788;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
20,88399;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
39,37543;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
28,266;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
28,27845;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
22,02183;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
9,899306;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
24,17371;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
21,00246;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
22,33089;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
23,09713;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
24,54352;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
21,8621;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
12,51148;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
22,33252;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
24,52606;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
22,31321;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
18,17806;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
26,04397;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
55,46564;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
24,37178;1;6;0;0;0,2;0,8;0,1;5;0,1;4;1
